Type,Post URL,Content,Timestamp,Media URL,Impressions (Organic),Impressions (Paid),Reach (Organic),Reach (Paid),Replies,Taps Back,Taps Forward,Exits
"VIDEO","https://www.instagram.com/stories/fdrtire/3803147701027248722",,2026-01-05 12:22,"https://metricool-download.s3.eu-west-1.amazonaws.com/igstories/202601/3411718-17841402145582522-3803147701027248722.jpeg",573,,547,,0,16,364,158
"VIDEO","https://www.instagram.com/stories/fdrtire/3803147315671377590",,2026-01-05 12:21,"https://metricool-download.s3.eu-west-1.amazonaws.com/igstories/202601/3411718-17841402145582522-3803147315671377590.jpeg",623,,591,,0,17,524,49
"VIDEO","https://www.instagram.com/stories/fdrtire/3803145564281015889",,2026-01-05 12:18,"https://metricool-download.s3.eu-west-1.amazonaws.com/igstories/202601/3411718-17841402145582522-3803145564281015889.jpeg",765,,720,,0,4,523,113
